CityID,CityName,StateID
1,Montgomery,10
2,Juneau,20
3,Phoenix,30
4,Little Rock,40
5,Sacramento,50
6,Denver,60
7,Hartford,70
8,Dover,80
9,Tallahassee,90
10,Atlanta,100
11,Honolulu,110
12,Boise,120
13,Springfield,130
14,Indianapolis,140
15,Des Moines,150
16,Topeka,160
17,Frankfort,170
18,Baton Rouge,180
19,Augusta,190
20,Annapolis,200
21,Boston,210
22,Lansing,220
23,Saint Paul,230
24,Jackson,240
25,Jefferson City,250
26,Helena,260
27,Lincoln,270
28,Carson City,280
29,Concord,290
30,Trenton,300
31,Santa Fe,310
32,Albany,320
33,Raleigh,330
34,Bismarck,340
35,Columbus,350
36,Oklahoma City,360
37,Salem,370
38,Harrisburg,380
39,Providence,390
40,Columbia,400
41,Pierre,410
42,Nashville,420
43,Austin,430
44,Salt Lake City,440
45,Montpelier,450
46,Richmond,460
47,Olympia,470
48,Charleston,480
49,Madison,490
50,Cheyenne,500
